id,depair,destair,indepartcode,inarrivecode,outflightno,outdepartdate,outdeparttime,outarrivaldate,outarrivaltime,outbookingclass,outflightclass,outcarriercode,inflightno,indepartdate,indeparttime,inarrivaldate,inarrivaltime,inbookingclass,inflightclass,incarriercode,originalprice,originalcurrency,reservation,carrier,oneway
1767758,LHR,MIA,MIA,LHR,VS5,06/01/2018,12:25:00,06/01/2018,17:10:00,,Economy,VS,DL4387,21/01/2018,21:40:00,22/01/2018,11:00:00,,Economy,DL,941.74,GBP,J9TULH,Virgin Atlantic,0
1636614,LHR,SIN,SIN,LHR,EK8,07/01/2018,09:10:00,08/01/2018,08:30:00,,Economy,EK,EK355,20/01/2018,21:00:00,21/01/2018,06:50:00,,Economy,EK,979.34,GBP,5RXPEK,Emirates,0
1678837,LHR,SIN,MEL,LHR,EK8,07/01/2018,09:10:00,08/01/2018,08:40:00,,Economy,EK,EK5009,10/02/2018,23:25:00,11/02/2018,12:40:00,,Economy,EK,1258.74,GBP,RQEJ4E,Emirates,0
1699288,LHR,SIN,SIN,LHR,EK8,07/01/2018,09:10:00,08/01/2018,08:40:00,,Economy,EK,EK353,25/01/2018,10:25:00,25/01/2018,20:00:00,,Economy,EK,976.74,GBP,OCPQ7N,Emirates,0
1730196,LHR,SIN,SIN,LHR,EK8,07/01/2018,09:10:00,08/01/2018,08:25:00,,Economy,EK,EK355,24/01/2018,21:00:00,25/01/2018,06:50:00,,Economy,EK,1953.48,GBP,WE342Z,Emirates,0
1804306,LHR,SIN,SIN,LHR,EK8,07/01/2018,09:10:00,08/01/2018,08:25:00,,Economy,EK,EK355,24/01/2018,21:00:00,25/01/2018,06:45:00,,Economy,EK,1255.74,GBP,NS8STB,Emirates,0
1783363,BHD,DXB,DXB,BHD,EI34,08/01/2018,13:05:00,09/01/2018,08:35:00,,Economy,EI,BA106,12/01/2018,02:25:00,12/01/2018,12:25:00,,Economy,BA,763.5,GBP,NBT5B8,Aer Lingus,0
1680126,MEL,SIN,SIN,MEL,SQ238,08/01/2018,11:25:00,08/01/2018,16:05:00,,Economy,SQ,SQ237,24/01/2018,23:45:00,25/01/2018,10:10:00,,Economy,SQ,2096.78,AUD,V5CX8I,Singapore Airlines,0
1680139,MEL,SIN,SIN,MEL,SQ238,08/01/2018,11:25:00,08/01/2018,16:05:00,,Economy,SQ,SQ237,24/01/2018,23:45:00,25/01/2018,10:10:00,,Economy,SQ,2096.78,AUD,V95JZO,Singapore Airlines,0
1738843,NCL,DXB,DXB,NCL,EK36,09/01/2018,13:00:00,10/01/2018,00:15:00,,Economy,EK,EK35,20/01/2018,07:25:00,20/01/2018,11:20:00,,Economy,EK,833.28,GBP,QDANLD,Emirates,0
1706530,MAN,HKT,HKT,MAN,EK22,10/01/2018,08:45:00,11/01/2018,08:00:00,,Economy,EK,EK379,24/01/2018,00:50:00,24/01/2018,11:20:00,,Economy,EK,962.48,GBP,TADBEN,Emirates,0
1819568,MAN,EWR,EWR,MAN,UA80,10/01/2018,09:00:00,10/01/2018,12:20:00,,Economy,UA,UA81,23/01/2018,19:30:00,24/01/2018,07:15:00,,Economy,UA,921.88,GBP,UTE9LR,United,0
